class_id,class_name,train_images,train_annotations,val_images,val_annotations,test_images,test_annotations,total_images,total_annotations
0,almond,57,1570,0,0,2,5,59,1575
1,aloogobi,389,395,39,40,21,21,449,456
2,aloomasala,414,423,39,39,20,20,473,482
3,apple,1168,16573,0,0,12,25,1180,16598
4,artichoke,3,6,0,0,1,2,4,8
5,ash gourd -kubhindo-,0,0,0,0,1,4,1,4
6,asparagus,68,833,0,0,1,8,69,841
7,avocado,3054,9663,164,581,50,159,3268,10403
8,bamboo shoots -tama-,6,21,0,0,0,0,6,21
9,banana,1739,48708,0,0,33,77,1772,48785
10,beans,3646,8520,148,261,73,114,3867,8895
11,beet,2710,8307,31,72,36,110,2777,8489
12,bell pepper,3325,14431,54,229,64,305,3443,14965
13,bhatura,453,963,44,87,21,42,518,1092
14,bhindimasala,471,471,43,45,25,25,539,541
15,biryani,456,474,42,45,24,24,522,543
16,bitter gourd,33,117,2,8,6,17,41,142
17,black beans,3,3,1,1,0,0,4,4
18,blackberry,39,405,0,0,5,23,44,428
19,blueberry,103,2110,0,0,30,1049,133,3159
20,bottle gourd -lauka-,9,15,4,5,7,17,20,37
21,bread,3,6,0,0,1,2,4,8
22,brinjal,9,24,3,5,0,0,12,29
23,broad beans -bakullo-,0,0,0,0,1,4,1,4
24,broccoli,3766,17363,100,198,83,167,3949,17728
25,brussels sprouts,1975,5283,28,76,82,187,2085,5546
26,buff meat,3,36,1,1,1,1,5,38
27,cabbage,2694,5272,29,94,99,202,2822,5568
28,capsicum,27,66,4,8,5,6,36,80
29,carrot,4873,28755,59,242,68,256,5000,29253
30,cauliflower,2238,7014,36,141,48,89,2322,7244
31,celery,1894,4718,23,49,22,44,1939,4811
32,chai,425,608,39,60,22,33,486,701
33,cherry,81,869,0,0,0,0,81,869
34,chicken,9,15,4,6,5,5,18,26
35,chicken gizzards,0,0,2,10,0,0,2,10
36,chickpeas,3,3,1,1,1,1,5,5
37,chili pepper -khursani-,6,6,2,5,1,1,9,12
38,chole,762,804,70,72,40,42,872,918
39,coconutchutney,603,618,53,57,30,33,686,708
40,corn,2635,11409,36,112,140,517,2811,12038
41,cucumber,3170,11315,48,147,70,276,3288,11738
42,dal,447,456,44,45,21,21,512,522
43,dosa,408,606,38,75,20,29,466,710
44,dumaloo,447,459,43,44,22,22,512,525
45,egg,28,302,5,49,5,92,38,443
46,eggplant,2654,7412,155,423,39,101,2848,7936
47,farsi ko munta,3,6,2,4,0,0,5,10
48,fiddlehead ferns -niguro-,6,21,0,0,0,0,6,21
49,fish,0,0,2,6,0,0,2,6
50,fishcurry,453,471,41,41,23,23,517,535
51,garlic,3413,11307,51,199,141,553,3605,12059
52,ghevar,294,567,28,48,14,21,336,636
53,grape,229,6145,0,0,8,97,237,6242
54,green bean,120,2513,0,0,2,38,122,2551
55,green brinjal,36,126,1,2,2,8,39,136
56,green gram,0,0,1,1,0,0,1,1
57,green lentils,3,3,1,1,1,1,5,5
58,green onion,95,1583,0,0,1,1,96,1584
59,green peas,0,0,2,2,0,0,2,2
60,green soyabean -hariyo bhatmas-,3,21,0,0,0,0,3,21
61,greenchutney,552,591,61,66,29,33,642,690
62,gulabjamun,165,1266,15,97,8,58,188,1421
63,gundruk,6,21,0,0,1,2,7,23
64,hot pepper,2494,9743,28,105,33,156,2555,10004
65,idli,228,909,22,87,11,41,261,1037
66,jack fruit,3,6,0,0,0,0,3,6
67,jalebi,405,438,38,39,20,27,463,504
68,kebab,201,1074,19,89,10,52,230,1215
69,kheer,366,537,35,50,19,31,420,618
