class_id,class_name,precision,recall,ap50,ap50_95
1,aloogobi,0.8493,0.7045,0.8539,0.6933
2,aloomasala,0.6786,0.8205,0.8745,0.7544
13,bhatura,0.7999,0.8391,0.9044,0.6925
14,bhindimasala,0.8354,0.8667,0.9132,0.7746
15,biryani,0.8412,0.8243,0.9234,0.7603
32,chai,0.7118,0.6588,0.6953,0.4494
38,chole,0.8001,0.9167,0.934,0.7324
39,coconutchutney,0.6663,0.8407,0.7951,0.6404
42,dal,0.9261,0.8359,0.9239,0.7737
43,dosa,0.8146,0.5733,0.6789,0.4408
44,dumaloo,0.8153,0.7022,0.8367,0.6784
50,fishcurry,0.6947,0.5552,0.6308,0.4986
52,ghevar,0.7213,0.5208,0.6884,0.4637
61,greenchutney,0.8036,0.7438,0.8225,0.6341
62,gulabjamun,0.9023,0.7615,0.9103,0.6802
65,idli,0.7535,0.9425,0.9131,0.7327
67,jalebi,0.9562,0.9744,0.9914,0.7646
68,kebab,0.7442,0.5618,0.7024,0.4096
69,kheer,0.7576,0.78,0.8156,0.636
71,kulfi,0.9122,0.7525,0.853,0.6064
72,lassi,0.7898,0.7379,0.8622,0.6489
82,muttoncurry,0.6342,0.75,0.7427,0.5681
84,onionpakoda,0.9104,0.975,0.9907,0.8229
86,palakpaneer,0.9514,0.9778,0.9636,0.7929
93,poha,0.9397,0.8905,0.9655,0.8116
98,rahar ko daal,0.0,0.0,0.0,0.0
99,rajmacurry,0.9475,0.881,0.914,0.7547
100,rasmalai,0.8801,0.8738,0.9117,0.7107
105,samosa,0.7488,0.646,0.7296,0.4721
106,shahipaneer,0.8295,0.4868,0.6943,0.5712
120,whiterice,0.8566,0.7627,0.8482,0.6621
