epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,978.494,1.60844,3.7432,1.85466,0.36495,0.22512,0.16279,0.07348,1.77043,2.75266,2.24595,0.0099969,0.0033323,0.0099969,0.0033323,0.0099969,0.0033323,0.0099969,0.0033323
2,1856.28,1.49075,2.68282,1.73126,0.3396,0.28997,0.26316,0.14233,1.60499,2.18381,1.97199,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
3,2712.95,1.49406,2.57843,1.70439,0.35971,0.28626,0.27933,0.14879,1.65711,2.14309,2.01469,0.0280171,0.00933903,0.0280171,0.00933903,0.0280171,0.00933903,0.0280171,0.00933903
4,3707.58,1.47541,2.43392,1.67973,0.43092,0.33585,0.35611,0.20753,1.5228,1.83642,1.8501,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,4619.14,1.43238,2.23212,1.64208,0.46385,0.39412,0.42287,0.2608,1.41939,1.54557,1.74074,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,5522.14,1.39734,2.11016,1.61905,0.5785,0.38839,0.44113,0.27944,1.37133,1.49017,1.68424,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,6421.82,1.37339,2.01447,1.59972,0.59212,0.40558,0.46402,0.30017,1.3528,1.40452,1.65907,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,12934.9,1.35823,1.93688,1.58229,0.62196,0.4287,0.49154,0.31533,1.34456,1.34429,1.63218,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,13840,1.34128,1.87531,1.57446,0.62764,0.45004,0.50859,0.33337,1.28206,1.25712,1.58775,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,14711.7,1.33102,1.82691,1.56219,0.62829,0.46252,0.52386,0.34871,1.24588,1.21308,1.55408,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,20796.9,1.31879,1.78134,1.55505,0.66935,0.46438,0.53311,0.35411,1.26402,1.18596,1.561,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,21693.3,1.30854,1.74843,1.5478,0.58824,0.49259,0.53958,0.36169,1.25086,1.15322,1.54323,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,22660.7,1.30259,1.71622,1.53701,0.69313,0.47288,0.55108,0.37354,1.22006,1.12439,1.52071,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,23516.7,1.29234,1.68355,1.52957,0.66342,0.48932,0.5663,0.382,1.21916,1.1074,1.51765,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,24414.6,1.28281,1.65007,1.52337,0.6408,0.51258,0.57586,0.38579,1.20499,1.07721,1.50491,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,29744.2,1.27736,1.6334,1.51934,0.6505,0.52322,0.58071,0.39021,1.19937,1.06237,1.49777,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,31734.6,1.27132,1.59965,1.51099,0.68278,0.4902,0.57938,0.39226,1.19649,1.05052,1.49162,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,32624.1,1.26122,1.57199,1.50332,0.68368,0.49058,0.58096,0.39467,1.19169,1.04407,1.48627,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,38203.5,1.25512,1.54551,1.49691,0.67907,0.50106,0.58261,0.39587,1.18679,1.03853,1.48159,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,39233.5,1.25099,1.52614,1.49348,0.67519,0.50779,0.58245,0.39646,1.1806,1.0308,1.47613,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,46956.8,1.16819,1.25134,1.4342,0.68102,0.51025,0.58374,0.39808,1.17747,1.02038,1.47066,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,54815.1,1.15453,1.20566,1.42096,0.68637,0.51051,0.58526,0.39964,1.17251,1.00943,1.46448,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,56004.9,1.14461,1.17085,1.41148,0.69261,0.51624,0.591,0.40129,1.16679,0.99959,1.45849,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,64849.7,1.13414,1.1438,1.40103,0.69419,0.51538,0.59237,0.40301,1.1615,0.98998,1.45338,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,1253.76,1.2174,1.44733,1.47111,0.69374,0.51644,0.59242,0.40326,1.16014,0.99168,1.45284,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,2312.84,1.21186,1.4257,1.46837,0.69591,0.51535,0.59256,0.40375,1.15806,0.99223,1.45143,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,3599.82,1.2093,1.40698,1.46214,0.70617,0.51899,0.59317,0.40437,1.15562,0.9923,1.44941,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,4647.36,1.20074,1.38613,1.45465,0.71667,0.51217,0.59094,0.40408,1.15352,0.99208,1.44771,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,5913.51,1.19932,1.37065,1.45006,0.71096,0.51332,0.58769,0.40503,1.1514,0.99287,1.4457,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,7021.3,1.18599,1.35255,1.44623,0.71084,0.51324,0.58775,0.40558,1.14889,0.99314,1.4436,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
